Tutorial:
CharBoredTitle|Boredom
CharBored|[Name] has become bored and is considering leaving the station. Make sure you have enough shops or slave whores to entertain your people.
CitizenTiredTitle|Citizens Tired
CitizenTired|[Name] is tired, but has nowhere to sleep. Build more [incomeindicator] apartments to keep your citizens from leaving the station.
TouristTiredTitle|Tourists Tired
TouristTired|[Name] is tired, but has nowhere to sleep on your station. Build a hotel or more rooms to let your tourists spend the night.
SlaveTiredTitle|Slave Collapsed
SlaveTired|[Name] is too tired to function, but has nowhere to sleep. Consider building more slave beds in the slave quarters.
SlaveIdleWorkTitle|Slave Idle
SlaveIdleWork|[Name] is currently idle because there is nowhere for her to complete her duties. You should reassign her or expand your brothel so that she has something to do.
SlaveIdleTrainTitle|Slave Idle
SlaveIdleTrain|[Name] is currently idle because there is nowhere for her to complete her duties. You should reassign her or expand your slave training facilities (spa and prison) so that she has something to do.
InsufficientGateTitle|Insufficient Gates
InsufficientGate|[showassistant]You have a backlog of tourists and immigrants trying to get aboard your station. It may be wise to build more gates to increase the flow of people in and out.
BuildRoomTitle|Tutorial
BuildRoom|[showassistant]Welcome to Stationmaster![br]To build a room, select a type with one of the buttons on the right, and click and drag on the grid to place it.[br][br]Generally, you'll want to start by encouraging tourists to visit. To do that, build a port and a bar.[br][br]If you would like more information, press F1 or the "Help" button under the settings menu to view the encyclopedia.
BuildFurnTitle|Tutorial
BuildFurn|[showassistant]To build furniture, click on a room, and use the buttons on the right hand side to select an item. Hold shift to build more than one.[br][br]To start, build a gate in your port to allow tourists to visit, and a restaurant in your bar to give them something to do while they're here.
SlaveTutorialTitle|Tutorial
SlaveTutorial|[showassistant]Bars are entertaining enough, but tourists will give you a lot more money for a brothel.[br][br]To set up your brothel, start by building the room and some private rooms (for obedient slaves) or arcade stations (for disobedient slaves). Once you have those, use the shopping cart icon in the top left of the screen to buy some slaves to fill them.[br][br]Note that slaves with high obedience won't staff arcade stations, and slaves with low obedience won't staff private rooms.
DemoSlavesTitle|Free Limit
DemoSlaves|The free version of Stationmaster is limited to 10 purchased slaves. You can always try raiding for them though.


General notifications
VirginityTaken|Virginity Taken
VirginityTakenText|{0} has paid you an extra $1000 for the pleasure of taking {1}'s virginity in the brothel.

Character Tags:
Corrupted|Corrupted
Insane|Insane
Defiant|Hates Authority
Easygoing|Easygoing
Fearless|Brave
Fearful|Cowardly
HatesSex|Hates Sex
LikesSex|Enjoys Sex
TribalClothes|Primitive Outlook
Rich|Wealthy Upbringing
MiddleClass|Middle-Class Upbringing
Poor|Poor Upbringing
Lactating|Lactating
Breast Implants|Has Breast Implants
Anal Lubrication Implant|Has an Anal Lubrication Implant
Dental Rubberization Implant|Has a Dental Rubberization Implant
Vaginal Tightness Implant|Has a Vaginal Tightness Implant
Reward Center Stimulator|Has a Reward Center Stimulator
Muscle Limiter Implant|Has a Muscle Limiter Implant
Electroshock Implant|Has an Electroshock Implant
Sensory Noise Implant|Has a Sensory Noise Implant
Surveillance Implant|Has a Surveillance Implant
Remote Implant|Has a Remote Implant
Sterilization Implant|Has a sterilization implant
Embryo Splitter Implant|Has an embryo splitter implant
Rapid Gestation Implant|Has an implant that reduces gestation time
Factory Implant|Has an implant that keeps her perpetually pregnant
Fertility Implant|Has an implant that increases her odds of becoming pregnant
Blindness Implant|Has an implant that blocks her from seeing
Groundhog Implant|Has an implant that prevents her from forming new memories
Orgasm Blocker Implant|Has an implant that prevents her from reaching orgasm without permission from her partner
Lobotomization Implant|Has remnants of the implant that lobotomized her


Character tags from Stats update:
Silver|Argyria
Albino|Albino
Insomnia|Insomniac
TrueCow|Boanthropy
PainInsensitive|Pain-Insensitive
Anxiety|Hyperekplexia
Depersonalizer|Depersonalizer
Anorexic|Anorexic
Overeater|Overeater
Kleptomaniac|Kleptomaniac
Obsessed|Obsessive
Blind|Blind
Ambitious|Ambitious
Friends|Believes that she will be rescued




PurpleSkin|Is a member of an extremely rare species of alien
Kiff|Kiff
Draug|Draug
Fae|Fae
Eoll|Eoll
HiGrav|High-gravity worlder
LoGrav|Low-gravity worlder
Kort|Kort
Ataran|Ataran
Eko|Eko
Chirop|Chirop
Felis|Felis
Canis|Canis
Doll|Doll
